frame_name,split,bbox_id,quality_flag,n_poly_pts
frame_00001,train,0,usable,8
frame_00001,train,1,usable,6
frame_00001,train,2,low_conf,4
frame_00001,train,3,low_conf,6
frame_00001,train,4,usable,7
frame_00001,train,5,usable,6
frame_00002,train,0,usable,6
frame_00002,train,1,low_conf,4
frame_00002,train,2,low_conf,6
frame_00002,train,3,usable,7
frame_00002,train,4,usable,6
frame_00002,train,5,low_conf,6
frame_00003,train,0,usable,6
frame_00003,train,1,low_conf,4
frame_00003,train,2,low_conf,4
frame_00003,train,3,usable,8
frame_00003,train,4,usable,7
frame_00003,train,5,low_conf,5
frame_00004,train,0,usable,6
frame_00004,train,1,usable,7
frame_00004,train,2,low_conf,5
frame_00004,train,3,low_conf,4
frame_00004,train,4,usable,6
frame_00004,train,5,usable,6
frame_00004,train,6,low_conf,5
frame_00005,train,0,usable,6
frame_00005,train,1,low_conf,6
frame_00005,train,2,low_conf,6
frame_00005,train,3,low_conf,5
frame_00005,train,4,usable,5
frame_00005,train,5,usable,6
frame_00006,train,0,usable,4
frame_00006,train,1,low_conf,6
frame_00006,train,2,low_conf,5
frame_00006,train,3,usable,6
frame_00006,train,4,usable,7
frame_00007,train,0,usable,5
frame_00007,train,1,low_conf,6
frame_00007,train,2,low_conf,7
frame_00007,train,3,usable,5
frame_00007,train,4,usable,7
frame_00008,train,0,low_conf,4
frame_00008,train,1,low_conf,6
frame_00008,train,2,usable,6
frame_00008,train,3,low_conf,6
frame_00008,train,4,usable,5
frame_00008,train,5,usable,6
frame_00008,train,6,low_conf,5
frame_00009,train,0,usable,5
frame_00009,train,1,low_conf,6
frame_00009,train,2,low_conf,5
frame_00009,train,3,usable,6
frame_00009,train,4,low_conf,6
frame_00010,train,0,low_conf,5
frame_00010,train,1,low_conf,6
frame_00010,train,2,low_conf,4
frame_00010,train,3,low_conf,5
frame_00010,train,4,usable,6
frame_00010,train,5,usable,7
frame_00010,train,6,low_conf,6
frame_00011,train,0,low_conf,4
frame_00011,train,1,low_conf,6
frame_00011,train,2,low_conf,4
frame_00011,train,3,low_conf,4
frame_00011,train,4,usable,8
frame_00011,train,5,usable,7
frame_00011,train,6,low_conf,5
frame_00012,train,0,low_conf,5
frame_00012,train,1,low_conf,5
frame_00012,train,2,low_conf,5
frame_00012,train,3,usable,6
frame_00012,train,4,usable,6
frame_00012,train,5,low_conf,5
frame_00015,train,0,low_conf,6
frame_00015,train,1,low_conf,4
frame_00015,train,2,low_conf,6
frame_00015,train,3,low_conf,4
frame_00015,train,4,usable,6
frame_00015,train,5,usable,6
frame_00015,train,6,low_conf,4
frame_00016,train,0,low_conf,5
frame_00016,train,1,usable,6
frame_00016,train,2,usable,6
frame_00016,train,3,low_conf,4
frame_00017,train,0,usable,6
frame_00017,train,1,low_conf,5
frame_00017,train,2,usable,6
frame_00017,train,3,usable,7
frame_00017,train,4,low_conf,4
frame_00018,train,0,low_conf,6
frame_00018,train,1,low_conf,5
frame_00018,train,2,usable,7
frame_00018,train,3,low_conf,5
frame_00018,train,4,usable,7
frame_00018,train,5,usable,7
frame_00018,train,6,low_conf,4
frame_00019,train,0,low_conf,4
frame_00019,train,1,low_conf,5
frame_00019,train,2,low_conf,4
frame_00019,train,3,usable,7
frame_00019,train,4,usable,7
frame_00019,train,5,low_conf,4
frame_00020,train,0,low_conf,6
frame_00020,train,1,low_conf,5
frame_00020,train,2,low_conf,6
frame_00020,train,3,usable,6
frame_00020,train,4,usable,6
frame_00020,train,5,low_conf,4
frame_00022,train,0,low_conf,4
frame_00022,train,1,low_conf,4
frame_00022,train,2,low_conf,7
frame_00022,train,3,low_conf,5
frame_00022,train,4,low_conf,4
frame_00022,train,5,usable,7
frame_00022,train,6,usable,7
frame_00022,train,7,low_conf,5
frame_00024,train,0,low_conf,6
frame_00024,train,1,low_conf,6
frame_00024,train,2,low_conf,6
frame_00024,train,3,low_conf,6
frame_00024,train,4,usable,7
frame_00024,train,5,usable,7
frame_00024,train,6,low_conf,5
frame_00025,train,0,low_conf,6
frame_00025,train,1,low_conf,6
frame_00025,train,2,low_conf,5
frame_00025,train,3,usable,7
frame_00025,train,4,low_conf,6
frame_00025,train,5,usable,7
frame_00025,train,6,usable,7
frame_00025,train,7,low_conf,6
frame_00027,train,0,low_conf,5
frame_00027,train,1,low_conf,4
frame_00027,train,2,usable,7
frame_00027,train,3,low_conf,4
frame_00027,train,4,usable,6
frame_00027,train,5,usable,7
frame_00027,train,6,low_conf,6
frame_00028,train,0,low_conf,5
frame_00028,train,1,low_conf,4
frame_00028,train,2,usable,5
frame_00028,train,3,usable,6
frame_00028,train,4,low_conf,4
frame_00028,train,5,usable,5
frame_00028,train,6,usable,6
frame_00028,train,7,usable,6
frame_00029,train,0,low_conf,6
frame_00029,train,1,low_conf,6
frame_00029,train,2,low_conf,4
frame_00029,train,3,usable,6
frame_00029,train,4,good,7
frame_00029,train,5,usable,6
frame_00030,train,0,usable,6
frame_00030,train,1,low_conf,6
frame_00030,train,2,low_conf,5
frame_00030,train,3,usable,6
frame_00030,train,4,good,6
frame_00030,train,5,low_conf,5
frame_00031,train,0,usable,5
frame_00031,train,1,usable,6
frame_00031,train,2,usable,5
frame_00031,train,3,low_conf,6
frame_00031,train,4,usable,5
frame_00031,train,5,usable,6
frame_00031,train,6,usable,7
frame_00032,train,0,low_conf,6
frame_00032,train,1,usable,6
frame_00032,train,2,low_conf,5
frame_00032,train,3,low_conf,6
frame_00032,train,4,usable,6
frame_00032,train,5,good,6
frame_00032,train,6,usable,6
frame_00033,train,0,low_conf,4
frame_00033,train,1,low_conf,5
frame_00033,train,2,usable,6
frame_00033,train,3,low_conf,4
frame_00033,train,4,usable,6
frame_00033,train,5,usable,6
frame_00033,train,6,usable,6
frame_00034,train,0,usable,4
frame_00034,train,1,low_conf,4
frame_00034,train,2,low_conf,5
frame_00034,train,3,low_conf,4
frame_00034,train,4,usable,6
frame_00034,train,5,good,7
frame_00034,train,6,usable,5
frame_00035,train,0,usable,4
frame_00035,train,1,low_conf,5
frame_00035,train,2,usable,5
frame_00035,train,3,low_conf,6
frame_00035,train,4,usable,6
frame_00035,train,5,good,6
frame_00035,train,6,usable,6
frame_00037,train,0,low_conf,6
frame_00037,train,1,low_conf,5
frame_00037,train,2,low_conf,6
frame_00037,train,3,usable,8
frame_00037,train,4,good,6
frame_00037,train,5,usable,6
frame_00038,train,0,low_conf,6
frame_00038,train,1,usable,5
frame_00038,train,2,low_conf,6
frame_00038,train,3,usable,5
frame_00038,train,4,usable,6
frame_00039,train,0,low_conf,6
frame_00039,train,1,low_conf,4
frame_00039,train,2,usable,6
frame_00039,train,3,low_conf,4
frame_00039,train,4,good,6
frame_00039,train,5,usable,6
frame_00039,train,6,usable,7
frame_00040,train,0,low_conf,4
frame_00040,train,1,usable,7
frame_00040,train,2,low_conf,4
frame_00040,train,3,usable,6
frame_00040,train,4,usable,6
frame_00040,train,5,usable,6
frame_00041,train,0,low_conf,4
frame_00041,train,1,usable,7
frame_00041,train,2,low_conf,6
frame_00041,train,3,usable,5
frame_00041,train,4,usable,6
frame_00041,train,5,usable,6
frame_00042,train,0,low_conf,6
frame_00042,train,1,usable,6
frame_00042,train,2,low_conf,5
frame_00042,train,3,usable,5
frame_00042,train,4,good,6
frame_00042,train,5,usable,5
frame_00045,train,0,low_conf,6
frame_00045,train,1,usable,6
frame_00045,train,2,low_conf,4
frame_00045,train,3,good,7
frame_00045,train,4,usable,6
frame_00045,train,5,usable,6
frame_00046,train,0,low_conf,4
frame_00046,train,1,usable,6
frame_00046,train,2,low_conf,4
frame_00046,train,3,good,6
frame_00046,train,4,usable,6
frame_00046,train,5,usable,5
frame_00047,train,0,low_conf,4
frame_00047,train,1,usable,6
frame_00047,train,2,low_conf,4
frame_00047,train,3,usable,6
frame_00047,train,4,usable,7
frame_00047,train,5,usable,6
frame_00048,train,0,low_conf,4
frame_00048,train,1,usable,7
frame_00048,train,2,low_conf,4
frame_00048,train,3,usable,6
frame_00048,train,4,usable,6
frame_00048,train,5,low_conf,5
frame_00049,train,0,low_conf,6
frame_00049,train,1,usable,8
frame_00049,train,2,low_conf,7
frame_00049,train,3,good,5
frame_00049,train,4,usable,7
frame_00049,train,5,usable,6
frame_00050,train,0,low_conf,7
frame_00050,train,1,usable,7
frame_00050,train,2,low_conf,5
frame_00050,train,3,good,6
frame_00050,train,4,usable,7
frame_00050,train,5,usable,6
frame_00051,train,0,low_conf,8
frame_00051,train,1,usable,6
frame_00051,train,2,low_conf,6
frame_00051,train,3,usable,5
frame_00051,train,4,usable,6
frame_00052,train,0,low_conf,4
frame_00052,train,1,usable,7
frame_00052,train,2,low_conf,4
frame_00052,train,3,usable,6
frame_00052,train,4,usable,6
frame_00053,train,0,low_conf,5
frame_00053,train,1,usable,6
frame_00053,train,2,low_conf,4
frame_00053,train,3,usable,6
frame_00053,train,4,usable,7
frame_00054,train,0,low_conf,6
frame_00054,train,1,usable,8
frame_00054,train,2,low_conf,5
frame_00054,train,3,usable,6
frame_00054,train,4,low_conf,5
frame_00054,train,5,usable,6
frame_00055,train,0,low_conf,4
frame_00055,train,1,usable,8
frame_00055,train,2,low_conf,5
frame_00055,train,3,usable,7
frame_00055,train,4,usable,6
frame_00056,train,0,usable,7
frame_00056,train,1,low_conf,4
frame_00056,train,2,usable,6
frame_00056,train,3,low_conf,5
frame_00056,train,4,usable,7
frame_00056,train,5,usable,6
frame_00058,train,0,low_conf,6
frame_00058,train,1,usable,7
frame_00058,train,2,low_conf,6
frame_00058,train,3,usable,6
frame_00058,train,4,low_conf,6
frame_00058,train,5,usable,6
frame_00059,train,0,low_conf,4
frame_00059,train,1,usable,6
frame_00059,train,2,low_conf,4
frame_00059,train,3,usable,7
frame_00059,train,4,usable,6
frame_00060,train,0,low_conf,5
frame_00060,train,1,usable,6
frame_00060,train,2,low_conf,4
frame_00060,train,3,usable,6
frame_00060,train,4,low_conf,6
frame_00060,train,5,usable,5
frame_00061,train,0,usable,6
frame_00061,train,1,low_conf,5
frame_00061,train,2,usable,7
frame_00061,train,3,low_conf,4
frame_00061,train,4,usable,6
frame_00061,train,5,low_conf,4
frame_00061,train,6,usable,6
frame_00062,train,0,low_conf,6
frame_00062,train,1,usable,6
frame_00062,train,2,low_conf,4
frame_00062,train,3,usable,6
frame_00062,train,4,low_conf,4
frame_00062,train,5,usable,5
frame_00063,train,0,low_conf,4
frame_00063,train,1,usable,6
frame_00063,train,2,low_conf,6
frame_00063,train,3,usable,6
frame_00063,train,4,low_conf,5
frame_00063,train,5,usable,6
frame_00064,train,0,low_conf,5
frame_00064,train,1,usable,7
frame_00064,train,2,low_conf,6
frame_00064,train,3,usable,6
frame_00064,train,4,low_conf,6
frame_00064,train,5,usable,7
frame_00065,train,0,low_conf,6
frame_00065,train,1,usable,6
frame_00065,train,2,low_conf,4
frame_00065,train,3,usable,8
frame_00065,train,4,low_conf,5
frame_00065,train,5,usable,7
frame_00066,train,0,low_conf,4
frame_00066,train,1,usable,5
frame_00066,train,2,low_conf,5
frame_00066,train,3,usable,6
frame_00066,train,4,low_conf,5
frame_00066,train,5,usable,7
frame_00067,train,0,low_conf,5
frame_00067,train,1,usable,7
frame_00067,train,2,usable,6
frame_00067,train,3,low_conf,4
frame_00067,train,4,usable,6
frame_00067,train,5,usable,6
frame_00068,train,0,low_conf,5
frame_00068,train,1,usable,6
frame_00068,train,2,low_conf,4
frame_00068,train,3,usable,6
frame_00068,train,4,low_conf,6
frame_00068,train,5,usable,6
frame_00072,train,0,low_conf,4
frame_00072,train,1,usable,5
frame_00072,train,2,low_conf,7
frame_00072,train,3,usable,6
frame_00072,train,4,low_conf,4
frame_00072,train,5,usable,5
frame_00073,train,0,low_conf,4
frame_00073,train,1,low_conf,6
frame_00073,train,2,low_conf,5
frame_00073,train,3,usable,6
frame_00073,train,4,low_conf,4
frame_00073,train,5,usable,7
frame_00074,train,0,low_conf,4
frame_00074,train,1,usable,7
frame_00074,train,2,usable,6
frame_00074,train,3,low_conf,5
frame_00074,train,4,usable,6
frame_00074,train,5,low_conf,5
frame_00074,train,6,usable,6
frame_00075,train,0,low_conf,7
frame_00075,train,1,usable,7
frame_00075,train,2,low_conf,4
frame_00075,train,3,usable,6
frame_00075,train,4,low_conf,5
frame_00075,train,5,usable,6
frame_00076,train,0,low_conf,7
frame_00076,train,1,low_conf,4
frame_00076,train,2,low_conf,6
frame_00076,train,3,usable,6
frame_00076,train,4,low_conf,6
frame_00076,train,5,usable,5
frame_00077,train,0,low_conf,7
frame_00077,train,1,usable,6
frame_00077,train,2,low_conf,5
frame_00077,train,3,usable,6
frame_00077,train,4,low_conf,6
frame_00077,train,5,usable,5
frame_00078,train,0,low_conf,7
frame_00078,train,1,usable,6
frame_00078,train,2,low_conf,5
frame_00078,train,3,usable,6
frame_00078,train,4,low_conf,6
frame_00078,train,5,usable,6
frame_00079,train,0,usable,7
frame_00079,train,1,low_conf,5
frame_00079,train,2,low_conf,8
frame_00079,train,3,usable,7
frame_00079,train,4,low_conf,6
frame_00079,train,5,usable,6
frame_00079,train,6,low_conf,4
frame_00079,train,7,usable,5
frame_00080,train,0,low_conf,4
frame_00080,train,1,low_conf,6
frame_00080,train,2,low_conf,6
frame_00080,train,3,usable,6
frame_00080,train,4,low_conf,5
frame_00080,train,5,usable,7
frame_00081,train,0,low_conf,4
frame_00081,train,1,low_conf,6
frame_00081,train,2,low_conf,5
frame_00081,train,3,usable,6
frame_00081,train,4,low_conf,5
frame_00081,train,5,usable,6
frame_00083,train,0,usable,6
frame_00083,train,1,low_conf,6
frame_00083,train,2,low_conf,4
frame_00083,train,3,low_conf,4
frame_00083,train,4,usable,6
frame_00083,train,5,usable,6
frame_00083,train,6,usable,6
frame_00084,train,0,usable,6
frame_00084,train,1,low_conf,7
frame_00084,train,2,low_conf,4
frame_00084,train,3,good,5
frame_00084,train,4,low_conf,4
frame_00084,train,5,good,6
frame_00084,train,6,usable,6
frame_00085,train,0,low_conf,7
frame_00085,train,1,usable,5
frame_00085,train,2,low_conf,6
frame_00085,train,3,usable,6
frame_00085,train,4,usable,6
frame_00088,train,0,usable,7
frame_00088,train,1,low_conf,4
frame_00088,train,2,low_conf,5
frame_00088,train,3,good,6
frame_00088,train,4,low_conf,6
frame_00088,train,5,good,6
frame_00088,train,6,usable,5
frame_00089,train,0,usable,7
frame_00089,train,1,low_conf,6
frame_00089,train,2,usable,7
frame_00089,train,3,low_conf,4
frame_00089,train,4,good,7
frame_00089,train,5,low_conf,5
frame_00089,train,6,usable,6
frame_00090,train,0,low_conf,6
frame_00090,train,1,usable,7
frame_00090,train,2,low_conf,4
frame_00090,train,3,usable,6
frame_00090,train,4,usable,7
frame_00091,train,0,low_conf,4
frame_00091,train,1,usable,6
frame_00091,train,2,good,7
frame_00091,train,3,low_conf,4
frame_00091,train,4,usable,6
frame_00091,train,5,usable,7
frame_00092,train,0,low_conf,6
frame_00092,train,1,low_conf,7
frame_00092,train,2,low_conf,6
frame_00092,train,3,usable,6
frame_00092,train,4,usable,7
frame_00094,train,0,usable,7
frame_00094,train,1,low_conf,6
frame_00094,train,2,low_conf,6
frame_00094,train,3,usable,6
frame_00094,train,4,usable,7
frame_00095,train,0,low_conf,4
frame_00095,train,1,usable,6
frame_00095,train,2,low_conf,5
frame_00095,train,3,usable,7
frame_00095,train,4,usable,5
frame_00096,train,0,usable,7
frame_00096,train,1,low_conf,6
frame_00096,train,2,usable,6
