jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
1,0,653.1,684.25,13.7,11.96,0,163.85
2,0,524.62,148.89,14.03,9.3,0,130.48
3,0,1129.86,486.32,14.67,11.15,0,163.58
4,0,967.81,593.19,11.89,11.49,0,136.66
5,0,726.66,552.38,15.46,10.53,0,162.8
1,1,653.23,684.14,13.5,11.78,0,159.09
2,1,524.17,149.04,14.49,9.62,0,139.32
3,1,1130.24,486.36,14.78,11.24,0,166.01
4,1,967.97,593.87,11.92,11.51,0,137.26
5,1,727.54,552.23,16.09,10.97,0,176.55
1,2,653.32,684.04,13.54,11.81,0,159.91
2,2,523.77,149.18,14.51,9.65,0,139.93
3,2,1130.99,486.28,14.79,11.26,0,166.47
4,2,968.36,595.02,11.59,11.17,0,129.41
5,2,728.13,552.13,16.15,11.05,0,178.5
1,3,653.79,683.76,13.44,11.71,0,157.46
2,3,522.82,149.19,14.22,9.47,0,134.64
3,3,1131.76,486.46,14.56,11.08,0,161.32
4,3,968.98,596.7,11.61,11.2,0,129.99
5,3,729.6,551.71,15.82,10.88,0,172.12
1,4,654.47,683.39,13.31,11.57,0,154.04
2,4,521.12,149.07,13.64,9.1,0,124.16
3,4,1132.43,486.33,14.72,11.22,0,165.12
4,4,969.38,597.83,11.97,11.55,0,138.26
5,4,731.13,551.57,16.22,11.22,0,181.93
1,5,654.87,683.13,13.16,11.38,0,149.73
2,5,520.16,149.28,14.45,9.66,0,139.53
3,5,1133.15,486.19,14.69,11.2,0,164.56
4,5,969.81,598.62,11.76,11.34,0,133.28
5,5,732.45,551.1,15.82,10.98,0,173.73
1,6,655.28,682.69,13.31,11.45,0,152.46
2,6,519.57,149.45,14.33,9.58,0,137.33
3,6,1133.6,485.98,14.77,11.28,0,166.56
4,6,970.1,599.4,11.53,11.1,0,127.92
5,6,733.83,551.02,15.2,10.64,0,161.74
1,7,655.58,682.3,13.5,11.6,0,156.6
2,7,518.88,149.74,14.59,9.8,0,142.99
3,7,1134.31,485.8,14.84,11.35,0,168.35
4,7,970.68,600.49,11.54,11.11,0,128.2
5,7,734.74,550.51,16.03,11.29,0,181.02
1,8,655.92,682.09,13.76,11.79,0,162.2
2,8,518.0,150.04,14.7,9.92,0,145.85
3,8,1135.23,485.58,14.93,11.46,0,171.04
4,8,970.98,601.63,11.8,11.36,0,134.11
5,8,736.26,549.87,16.48,11.7,0,192.86
1,9,656.55,681.81,13.66,11.68,0,159.55
2,9,517.04,150.15,14.79,10.04,0,148.51
3,9,1135.92,485.42,14.95,11.5,0,171.86
4,9,971.61,602.44,11.9,11.45,0,136.26
5,9,737.68,549.92,16.71,11.99,0,200.34
1,10,657.07,681.56,13.57,11.57,0,157.01
2,10,516.44,150.18,14.49,9.87,0,143.06
3,10,1136.61,485.26,14.92,11.47,0,171.07
4,10,972.05,603.52,11.83,11.39,0,134.69
5,10,738.92,549.84,16.47,11.93,0,196.51
1,11,657.55,681.35,13.89,11.86,0,164.68
2,11,516.05,150.12,14.13,9.6,0,135.71
3,11,1137.47,485.23,15.01,11.54,0,173.26
4,11,972.56,604.54,11.57,11.11,0,128.53
5,11,740.12,549.27,16.37,11.92,0,195.04
1,12,657.88,680.88,13.94,11.88,0,165.54
2,12,515.19,150.29,14.31,9.73,0,139.32
3,12,1138.21,484.99,15.06,11.61,0,174.87
4,12,972.86,605.57,11.85,11.36,0,134.63
5,12,741.54,548.81,15.93,11.68,0,186.05
1,13,658.28,680.41,13.89,11.86,0,164.67
2,13,513.96,150.58,13.83,9.32,0,128.85
3,13,1139.09,484.57,15.12,11.64,0,175.97
4,13,973.13,606.37,12.13,11.58,0,140.39
5,13,742.97,548.33,15.28,11.24,0,171.78
1,14,658.95,679.9,13.61,11.63,0,158.32
2,14,513.11,150.66,13.93,9.25,0,128.85
3,14,1139.96,484.28,15.1,11.62,0,175.48
4,14,973.9,607.32,11.88,11.31,0,134.37
5,14,744.58,548.0,15.38,11.4,0,175.34
1,15,659.67,679.58,13.36,11.42,0,152.65
2,15,511.96,150.52,13.58,8.98,0,121.87
3,15,1140.62,484.17,15.16,11.66,0,176.82
4,15,974.64,608.21,11.95,11.41,0,136.3
5,15,745.91,547.9,15.0,11.22,0,168.29
1,16,660.14,679.51,13.58,11.58,0,157.34
2,16,511.18,150.74,13.57,8.96,0,121.49
3,16,1141.48,483.99,15.04,11.53,0,173.33
4,16,975.18,609.1,12.11,11.49,0,139.1
5,16,747.25,547.93,14.71,11.03,0,162.19
1,17,660.69,679.3,13.74,11.73,0,161.23
2,17,510.49,151.12,14.08,9.36,0,131.77
3,17,1142.39,483.76,14.97,11.45,0,171.39
4,17,975.61,609.91,12.21,11.57,0,141.24
5,17,748.66,547.57,14.87,11.18,0,166.23
1,18,661.26,679.04,13.74,11.74,0,161.32
2,18,510.09,151.57,14.74,9.86,0,145.38
3,18,1143.49,483.48,14.59,11.15,0,162.68
4,18,976.38,611.43,11.77,11.18,0,131.61
5,18,750.43,547.34,14.74,11.11,0,163.79
1,19,661.73,678.74,13.76,11.81,0,162.59
2,19,509.65,152.06,14.8,9.87,0,146.0
3,19,1144.11,483.42,14.74,11.25,0,165.78
4,19,976.92,612.33,11.67,11.08,0,129.32
5,19,751.94,546.94,14.77,11.17,0,164.97
1,20,662.13,678.34,13.97,12.07,0,168.58
2,20,509.08,152.29,14.73,9.8,0,144.34
3,20,1144.67,483.29,14.75,11.25,0,165.89
4,20,977.59,613.51,11.61,11.03,0,128.07
5,20,753.07,546.47,14.8,11.23,0,166.29
1,21,662.55,678.14,14.04,12.15,0,170.53
2,21,508.3,152.44,14.54,9.69,0,140.81
3,21,1145.29,483.19,14.6,11.15,0,162.78
4,21,978.0,614.28,11.57,11.01,0,127.41
5,21,754.59,546.64,14.61,11.14,0,162.7
1,22,662.87,678.03,14.15,12.25,0,173.42
2,22,507.41,152.63,14.0,9.37,0,131.12
3,22,1146.22,483.05,14.82,11.36,0,168.29
4,22,978.24,614.93,11.41,10.83,0,123.61
5,22,755.86,546.24,14.96,11.43,0,171.11
10,22,708.8,493.91,10.92,7.21,0,78.73
1,23,663.14,677.93,14.36,12.48,0,179.19
2,23,506.54,153.11,14.37,9.67,0,138.98
3,23,1147.06,482.96,15.23,11.73,0,178.77
4,23,978.75,615.88,11.0,10.44,0,114.8
5,23,757.54,546.19,14.68,11.18,0,164.1
10,23,708.51,493.49,10.2,6.73,0,68.68
1,24,663.52,677.64,14.36,12.56,0,180.45
2,24,505.6,153.58,14.41,9.79,0,141.05
3,24,1147.67,482.87,15.19,11.76,0,178.69
4,24,979.2,617.03,11.2,10.63,0,119.01
5,24,758.92,545.79,14.29,10.84,0,154.8
10,24,708.3,493.51,10.64,7.02,0,74.7
1,25,663.89,677.44,14.31,12.56,0,179.78
2,25,504.48,154.05,13.88,9.51,0,132.03
3,25,1148.19,482.64,14.88,11.54,0,171.74
4,25,979.57,617.89,11.11,10.57,0,117.46
5,25,760.02,545.69,14.56,11.08,0,161.42
10,25,708.14,493.66,11.14,7.35,0,81.88
1,26,663.89,677.35,14.2,12.51,0,177.65
2,26,503.26,154.41,13.82,9.58,0,132.36
3,26,1148.67,482.54,14.7,11.41,0,167.7
4,26,979.99,618.7,10.84,10.27,0,111.33
5,26,761.06,545.61,14.54,11.1,0,161.34
10,26,707.34,493.44,10.75,7.11,0,76.42
1,27,664.17,677.15,14.19,12.52,0,177.68
2,27,502.39,154.57,13.71,9.51,0,130.34
3,27,1149.21,482.28,14.66,11.39,0,167.05
4,27,980.42,619.34,10.56,9.96,0,105.13
5,27,762.3,545.37,14.54,11.17,0,162.47
10,27,707.14,493.59,10.76,7.14,0,76.83
1,28,664.6,676.77,13.98,12.34,0,172.46
2,28,501.75,155.06,13.19,9.11,0,120.14
3,28,1149.89,482.17,15.04,11.77,0,176.96
4,28,980.78,620.42,10.45,9.83,0,102.71
5,28,763.51,545.04,14.84,11.36,0,168.59
10,28,706.68,493.53,10.52,7.01,0,73.69
1,29,664.91,676.71,14.27,12.65,0,180.44
2,29,501.21,155.46,13.29,9.17,0,121.86
3,29,1150.6,482.01,14.87,11.65,0,173.16
4,29,981.14,621.3,10.56,9.92,0,104.8
5,29,764.84,544.7,14.69,11.29,0,165.78
1,30,665.15,676.43,14.21,12.6,0,179.01
2,30,500.48,155.84,13.15,9.09,0,119.46
3,30,1151.07,481.96,14.65,11.49,0,168.33
4,30,981.43,622.44,10.87,10.19,0,110.82
5,30,765.92,544.49,14.55,11.18,0,162.79
10,30,706.02,493.72,10.66,7.14,0,76.13
1,31,665.26,676.25,13.84,12.3,0,170.26
2,31,499.73,156.31,13.4,9.26,0,124.02
3,31,1151.93,481.84,14.69,11.52,0,169.21
4,31,981.88,623.22,10.94,10.22,0,111.79
5,31,767.02,544.62,14.49,11.07,0,160.4
10,31,705.64,493.88,10.53,7.12,0,74.98
1,32,665.62,676.08,13.89,12.4,0,172.2
2,32,498.91,156.66,13.56,9.38,0,127.28
3,32,1152.99,481.68,14.51,11.39,0,165.39
4,32,982.33,624.32,11.07,10.34,0,114.51
5,32,768.43,544.04,15.58,11.92,0,185.77
10,32,705.28,493.87,10.23,6.96,0,71.15
1,33,666.29,675.78,13.61,12.17,0,165.67
2,33,498.23,157.09,13.58,9.44,0,128.17
3,33,1154.09,481.6,14.32,11.3,0,161.85
4,33,982.96,625.01,10.77,10.06,0,108.27
5,33,770.49,544.02,15.07,11.59,0,174.59
1,34,666.77,675.6,13.6,12.2,0,165.92
2,34,497.54,157.59,13.49,9.39,0,126.66
3,34,1155.15,481.69,14.4,11.38,0,163.87
4,34,983.63,625.92,11.04,10.32,0,113.95
5,34,771.8,544.0,14.64,11.29,0,165.26
1,35,667.06,675.45,13.37,12.01,0,160.59
2,35,496.3,158.31,12.48,8.65,0,107.95
3,35,1155.94,481.69,14.46,11.41,0,165.01
4,35,984.29,626.5,11.27,10.56,0,119.01
5,35,773.08,543.9,14.44,11.14,0,160.85
1,36,667.38,675.37,13.52,12.17,0,164.52
2,36,495.69,158.53,13.02,8.98,0,116.94
3,36,1156.6,481.6,14.32,11.28,0,161.44
4,36,984.77,627.41,11.0,10.28,0,113.09
5,36,774.31,543.86,14.43,11.11,0,160.29
10,36,703.84,494.33,9.99,6.8,0,67.93
1,37,667.74,675.25,13.71,12.35,0,169.33
2,37,494.7,159.09,13.01,8.98,0,116.84
3,37,1157.28,481.48,14.31,11.26,0,161.15
