session,track_id,n_pts,dom_freq_hz,bio_freq_hz,f_peaks_hz,dans_bande_bio
2025_06_06,0,481,0.1997,0.5491,1.0504,True
2025_06_06,1,481,0.2995,0.4493,1.4006,True
2025_06_06,2,481,0.2496,1.0982,1.2505,True
2025_06_06,3,481,0.2995,0.5491,1.2005,True
2025_06_06,4,481,0.1997,0.3993,1.1505,True
2025_06_06,6,481,0.9484,0.9484,1.1005,True
2025_06_06,8,480,0.2496,0.4492,1.0504,True
2025_06_06,9,481,0.1498,0.3993,1.2505,True
2025_06_06,15,397,0.2354,0.3531,1.0029,True
2025_06_06,26,272,0.1765,0.6179,1.2404,True
2025_08_08,140,86,0.8545,0.8545,1.1527,True
2025_08_15,0,600,0.1998,0.3497,1.1508,True
2025_08_15,2,600,1.7483,1.1988,1.501,False
2025_08_15,25,519,0.227,1.4757,1.4217,True
2025_08_15,28,519,0.6303,0.6303,1.4353,True
2025_08_15,73,164,1.7419,1.2194,1.5774,False
2025_08_15,89,78,1.9295,0.6432,1.6288,False
