session,frame_idx,time_s,cx,cy,bbox_w,bbox_h,mask_area_px
2025_06_06,2762,115.0354,1150.7,614.1,11.6,11.6,123
2025_06_06,2762,115.0354,891.7,688.1,12.8,10.0,112
2025_06_06,2762,115.0354,225.9,146.9,17.6,14.1,175
2025_06_06,2762,115.0354,1229.2,527.0,14.2,12.1,148
2025_06_06,2762,115.0354,556.5,441.3,13.6,11.0,117
2025_06_06,2762,115.0354,275.9,678.7,8.6,9.3,52
2025_06_06,2762,115.0354,873.3,271.9,12.8,13.5,128
2025_06_06,2762,115.0354,304.9,620.6,8.5,6.8,53
2025_06_06,2762,115.0354,984.2,413.2,12.8,12.2,118
2025_06_06,2762,115.0354,455.6,38.1,11.8,10.8,100
2025_06_06,2762,115.0354,575.2,429.7,12.1,10.0,88
2025_06_06,2763,115.07705,891.7,688.2,12.7,10.0,115
2025_06_06,2763,115.07705,1150.7,614.1,11.5,11.6,124
2025_06_06,2763,115.07705,225.9,146.9,17.2,13.6,173
2025_06_06,2763,115.07705,1229.1,527.0,14.0,12.1,148
2025_06_06,2763,115.07705,556.5,441.4,13.7,11.1,120
2025_06_06,2763,115.07705,276.0,678.7,8.5,9.5,52
2025_06_06,2763,115.07705,873.1,271.7,12.8,13.6,131
2025_06_06,2763,115.07705,455.8,38.1,11.7,11.3,106
2025_06_06,2763,115.07705,984.1,413.3,13.0,12.4,118
2025_06_06,2763,115.07705,304.8,620.6,8.5,7.0,55
2025_06_06,2763,115.07705,575.1,429.8,12.1,10.2,88
2025_06_06,2764,115.1187,891.7,688.2,12.7,10.0,115
2025_06_06,2764,115.1187,226.1,146.8,17.1,13.9,178
2025_06_06,2764,115.1187,1228.8,526.9,14.0,12.2,147
2025_06_06,2764,115.1187,1150.6,614.0,11.5,11.6,122
2025_06_06,2764,115.1187,556.8,441.7,13.4,11.0,116
2025_06_06,2764,115.1187,276.1,678.8,9.1,10.0,57
2025_06_06,2764,115.1187,873.3,271.4,13.8,13.7,132
2025_06_06,2764,115.1187,455.5,37.9,11.1,12.2,106
2025_06_06,2764,115.1187,983.9,413.4,12.6,12.2,112
2025_06_06,2764,115.1187,304.6,620.8,8.5,7.0,55
2025_06_06,2764,115.1187,574.9,429.7,12.3,10.4,89
2025_06_06,2765,115.16035,891.8,688.2,12.8,10.0,115
2025_06_06,2765,115.16035,226.0,146.8,17.4,13.8,176
2025_06_06,2765,115.16035,1228.7,527.0,14.0,12.2,148
2025_06_06,2765,115.16035,1150.6,613.7,11.5,11.7,127
2025_06_06,2765,115.16035,556.8,441.8,13.5,10.9,115
2025_06_06,2765,115.16035,455.2,37.9,11.7,12.2,110
2025_06_06,2765,115.16035,276.1,679.0,8.8,9.5,54
2025_06_06,2765,115.16035,873.1,271.6,13.2,13.8,129
2025_06_06,2765,115.16035,983.8,413.4,13.0,12.2,117
2025_06_06,2765,115.16035,574.9,429.8,11.8,10.5,87
2025_06_06,2765,115.16035,303.7,620.6,8.6,7.0,55
2025_06_06,2766,115.202,226.0,146.7,17.5,13.9,178
2025_06_06,2766,115.202,891.9,688.3,12.9,10.0,112
2025_06_06,2766,115.202,1228.5,526.8,14.1,12.1,148
2025_06_06,2766,115.202,1150.7,613.7,11.7,11.8,131
2025_06_06,2766,115.202,556.9,442.0,13.3,10.8,113
2025_06_06,2766,115.202,454.8,38.2,11.7,11.9,108
