jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels,balisee_id
764,200,2193.86,1336.03,21.45,19.31,1,414.39,Balisée #3
765,200,3302.22,1956.38,18.37,20.1,0,369.23,
770,200,2105.1,1797.42,17.13,16.95,0,290.39,
771,200,491.81,1604.56,22.48,18.1,1,406.99,Balisée #2
767,200,172.1,1069.06,19.24,18.5,1,356.06,Balisée #1
775,200,662.17,1186.34,27.43,22.61,0,620.12,
764,201,2195.62,1334.28,21.91,19.83,1,434.32,Balisée #3
765,201,3302.07,1957.44,18.03,20.0,0,360.45,
770,201,2106.82,1794.49,15.62,15.58,0,243.32,
771,201,490.81,1602.6,21.13,17.08,1,360.87,Balisée #2
767,201,173.05,1068.41,18.71,18.13,1,339.24,Balisée #1
764,202,2197.59,1332.86,21.77,19.76,1,430.2,Balisée #3
765,202,3302.05,1958.09,17.98,20.19,0,362.95,
770,202,2108.29,1791.54,14.92,14.71,0,219.48,
771,202,490.66,1600.26,21.17,17.16,1,363.31,Balisée #2
767,202,174.0,1067.38,18.81,18.5,1,347.96,Balisée #1
764,203,2200.35,1330.89,21.39,19.41,1,415.01,Balisée #3
765,203,3302.39,1958.63,17.55,20.0,0,351.01,
770,203,2109.61,1788.44,15.17,14.58,0,221.17,
771,203,490.98,1598.22,21.06,17.13,1,360.83,Balisée #2
767,203,175.4,1065.86,19.09,18.98,1,362.41,Balisée #1
764,204,2202.91,1329.38,21.76,19.78,1,430.39,Balisée #3
765,204,3301.97,1959.08,17.41,20.09,0,349.69,
770,204,2114.32,1785.02,15.4,14.72,0,226.63,
771,204,491.04,1596.52,20.65,16.86,1,348.3,Balisée #2
767,204,176.55,1064.56,18.74,18.87,1,353.7,Balisée #1
764,205,2205.47,1328.05,22.31,20.29,1,452.71,Balisée #3
765,205,3301.34,1960.02,17.39,20.33,0,353.62,
770,205,2116.7,1782.0,15.47,14.9,0,230.43,
771,205,491.52,1595.52,20.96,17.22,1,360.92,Balisée #2
767,205,178.14,1063.78,18.62,19.0,1,353.63,Balisée #1
764,206,2208.54,1326.39,22.02,20.0,1,440.52,Balisée #3
765,206,3301.08,1960.88,16.81,19.92,0,334.88,
770,206,2118.62,1779.61,15.71,15.44,0,242.65,
771,206,492.25,1594.59,21.04,17.42,1,366.53,Balisée #2
767,206,180.08,1063.2,18.51,19.11,1,353.7,Balisée #1
764,207,2210.53,1325.06,22.33,20.31,1,453.47,Balisée #3
765,207,3300.94,1961.74,16.35,19.61,0,320.55,
770,207,2121.13,1777.81,17.4,17.65,0,307.19,
771,207,492.45,1594.07,20.92,17.5,1,366.22,Balisée #2
767,207,181.74,1062.76,17.5,18.17,1,317.94,Balisée #1
764,208,2213.5,1323.59,22.39,20.39,1,456.63,Balisée #3
765,208,3301.16,1963.37,16.22,19.68,0,319.28,
770,208,2123.54,1773.19,16.49,17.09,0,281.81,
771,208,492.66,1593.32,21.07,17.73,1,373.64,Balisée #2
767,208,184.19,1062.25,18.02,18.92,1,341.06,Balisée #1
764,209,2216.14,1322.72,22.81,20.86,1,475.89,Balisée #3
765,209,3301.35,1965.32,16.57,20.35,0,337.32,
770,209,2125.99,1770.84,15.12,15.84,0,239.55,
771,209,492.57,1591.98,21.1,17.88,1,377.24,Balisée #2
767,209,186.07,1062.34,17.59,18.52,1,325.83,Balisée #1
764,210,2218.59,1321.87,22.8,20.89,1,476.31,Balisée #3
765,210,3301.95,1966.58,17.02,21.31,0,362.61,
770,210,2128.25,1769.1,14.39,15.14,0,217.9,
771,210,492.87,1590.53,20.9,17.91,1,374.45,Balisée #2
767,210,187.66,1062.18,18.08,19.08,1,344.87,Balisée #1
764,211,2221.11,1321.22,22.6,20.75,1,468.94,Balisée #3
765,211,3301.63,1967.02,16.96,21.61,0,366.35,
770,211,2130.39,1766.68,13.98,14.83,0,207.31,
771,211,493.89,1589.27,20.36,17.64,1,359.2,Balisée #2
767,211,189.14,1061.51,17.92,18.82,1,337.38,Balisée #1
764,212,2223.53,1320.53,23.4,21.68,1,507.39,Balisée #3
765,212,3300.84,1968.78,16.56,21.5,0,356.09,
770,212,2132.12,1763.72,14.38,15.11,0,217.28,
771,212,494.48,1588.89,21.01,18.36,1,385.79,Balisée #2
767,212,190.24,1061.32,17.91,18.51,1,331.54,Balisée #1
764,213,2226.01,1318.65,23.18,21.64,1,501.63,Balisée #3
765,213,3299.92,1970.21,15.68,20.54,0,322.19,
770,213,2133.24,1761.58,14.55,14.97,0,217.91,
771,213,495.13,1588.71,21.34,18.85,1,402.3,Balisée #2
767,213,193.1,1060.67,17.92,18.27,1,327.47,Balisée #1
764,214,2228.17,1317.43,23.32,21.91,1,511.1,Balisée #3
765,214,3299.15,1972.44,15.43,20.38,0,314.41,
770,214,2133.88,1759.42,14.67,14.68,0,215.26,
771,214,495.36,1588.84,20.68,18.5,1,382.68,Balisée #2
767,214,194.6,1060.73,17.9,18.16,1,325.05,Balisée #1
764,215,2230.42,1317.32,23.61,22.38,1,528.43,Balisée #3
765,215,3298.74,1974.8,14.75,19.51,0,287.67,
770,215,2138.43,1757.45,15.14,15.03,0,227.43,
771,215,495.07,1588.92,20.88,18.89,1,394.59,Balisée #2
767,215,195.86,1061.11,17.49,17.67,1,309.16,Balisée #1
764,216,2231.96,1317.83,23.53,22.34,1,525.62,Balisée #3
765,216,3298.69,1977.31,14.83,19.69,0,291.96,
770,216,2140.6,1756.0,15.14,15.07,0,228.2,
771,216,494.22,1589.09,20.69,18.88,1,390.67,Balisée #2
767,216,197.27,1061.73,17.61,17.65,1,310.76,Balisée #1
764,217,2233.95,1317.7,23.59,22.62,1,533.64,Balisée #3
765,217,3298.14,1980.24,14.74,19.57,0,288.43,
770,217,2142.01,1755.44,15.01,15.14,0,227.2,
771,217,493.6,1589.21,20.27,18.62,1,377.37,Balisée #2
767,217,198.42,1062.63,16.58,16.37,1,271.4,Balisée #1
764,218,2235.92,1317.0,23.97,23.28,1,558.06,Balisée #3
765,218,3296.99,1982.85,14.97,19.96,0,298.84,
770,218,2143.23,1754.69,15.86,16.37,0,259.57,
771,218,493.07,1589.26,20.07,18.59,1,372.94,Balisée #2
767,218,199.46,1063.23,16.86,16.44,1,277.25,Balisée #1
764,219,2237.55,1316.58,24.21,23.79,1,575.98,Balisée #3
765,219,3296.01,1984.99,14.62,19.55,0,285.71,
