jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
1,0,3121.97,496.54,24.57,23.5,0,577.46
2,0,2768.45,345.49,15.6,16.35,0,255.0
3,0,2072.3,1758.43,9.24,13.23,0,122.24
4,0,2628.31,1377.46,21.63,15.74,0,340.57
5,0,1010.69,2059.72,18.63,15.62,0,290.95
6,0,1511.57,851.4,23.19,14.7,0,340.9
7,0,3183.98,1519.8,19.38,24.53,0,475.44
1,1,3122.08,496.54,24.38,23.33,0,568.77
2,1,2768.58,345.73,15.7,16.46,0,258.43
3,1,2072.57,1758.56,9.45,13.53,0,127.88
4,1,2628.7,1377.6,21.77,15.84,0,344.8
5,1,1010.6,2059.82,18.96,15.9,0,301.41
6,1,1512.67,851.42,23.34,14.8,0,345.31
7,1,3184.01,1520.07,19.28,24.39,0,470.25
1,2,3121.97,496.68,24.12,23.09,0,556.79
2,2,2768.75,345.88,16.0,16.78,0,268.47
3,2,2072.64,1758.31,9.37,13.42,0,125.68
4,2,2629.05,1377.62,21.61,15.73,0,340.04
5,2,1010.6,2060.07,19.39,16.27,0,315.53
6,2,1513.15,851.51,23.5,14.92,0,350.62
7,2,3184.3,1520.29,19.46,24.6,0,478.72
1,3,3122.03,496.8,23.74,22.72,0,539.48
2,3,2768.56,346.22,15.86,16.64,0,263.89
3,3,2072.87,1758.16,9.31,13.32,0,124.08
4,3,2629.43,1377.89,21.75,15.84,0,344.52
5,3,1010.55,2060.07,19.3,16.21,0,312.74
6,3,1513.68,851.47,23.73,15.1,0,358.15
7,3,3184.47,1520.62,19.64,24.82,0,487.51
1,4,3121.8,497.08,23.47,22.44,0,526.61
2,4,2768.32,346.63,16.0,16.82,0,269.11
3,4,2073.08,1758.16,9.48,13.55,0,128.36
4,4,2629.69,1378.06,21.57,15.71,0,338.93
5,4,1010.55,2060.3,19.73,16.61,0,327.78
6,4,1514.1,851.43,23.95,15.27,0,365.78
1,5,3121.54,497.16,23.19,22.11,0,512.66
2,5,2768.23,346.91,16.08,16.94,0,272.35
3,5,2073.08,1757.98,9.81,14.05,0,137.9
4,5,2629.96,1378.32,21.35,15.54,0,331.8
5,5,1010.51,2060.57,20.26,17.12,0,347.01
1,6,3121.34,497.2,23.04,21.87,0,504.05
2,6,2768.11,347.22,16.26,17.17,0,279.16
3,6,2073.28,1757.79,10.07,14.45,0,145.45
4,6,2630.52,1378.55,21.22,15.43,0,327.44
5,6,1010.6,2060.83,20.73,17.64,0,365.65
1,7,3121.23,497.24,23.15,21.85,0,505.87
2,7,2768.29,347.31,16.56,17.54,0,290.47
3,7,2073.42,1757.42,10.13,14.59,0,147.85
4,7,2631.06,1378.83,20.87,15.14,0,315.93
5,7,1010.77,2060.98,20.92,17.95,0,375.44
1,8,3121.14,497.32,23.28,21.84,0,508.57
2,8,2768.35,347.55,16.45,17.45,0,286.92
3,8,2073.43,1757.11,10.35,14.98,0,155.09
4,8,2631.56,1379.1,20.99,15.2,0,318.92
5,8,1010.89,2061.13,21.05,18.24,0,383.94
1,9,3121.0,497.31,23.39,21.8,0,509.82
2,9,2768.3,347.8,16.32,17.3,0,282.35
3,9,2073.61,1756.65,10.52,15.29,0,160.95
4,9,2631.98,1379.35,20.81,15.03,0,312.81
5,9,1011.16,2061.2,20.94,18.38,0,384.95
6,9,1516.74,850.48,23.18,14.86,0,344.43
1,10,3120.83,497.21,23.56,21.83,0,514.31
2,10,2768.24,347.9,16.33,17.29,0,282.4
3,10,2073.77,1756.27,10.66,15.61,0,166.49
4,10,2632.22,1379.57,20.93,15.07,0,315.36
5,10,1011.26,2061.19,20.67,18.37,0,379.83
1,11,3120.67,497.1,23.79,21.92,0,521.44
2,11,2768.34,348.09,16.21,17.1,0,277.23
3,11,2073.95,1756.11,10.71,15.76,0,168.71
4,11,2632.4,1379.66,21.03,15.09,0,317.36
5,11,1011.44,2061.21,20.42,18.41,0,376.0
1,12,3120.53,497.14,24.04,22.03,0,529.69
2,12,2768.42,348.32,16.11,16.97,0,273.38
3,12,2073.99,1756.06,10.68,15.8,0,168.85
4,12,2632.69,1379.78,21.42,15.35,0,328.65
5,12,1011.52,2061.26,20.26,18.52,0,375.13
1,13,3120.47,497.26,24.15,22.0,0,531.31
2,13,2768.39,348.5,15.87,16.68,0,264.65
3,13,2074.12,1756.04,10.67,15.83,0,168.85
4,13,2633.02,1379.86,21.68,15.52,0,336.45
5,13,1011.69,2061.38,20.17,18.74,0,377.97
6,13,1518.27,850.26,23.03,14.86,0,342.16
1,14,3120.48,497.44,24.32,22.05,0,536.49
2,14,2768.43,348.93,16.01,16.81,0,269.18
3,14,2074.07,1756.08,10.56,15.74,0,166.2
4,14,2633.34,1380.1,21.97,15.73,0,345.58
5,14,1011.79,2061.49,20.07,18.97,0,380.64
6,14,1518.84,850.28,22.97,14.92,0,342.65
1,15,3120.37,497.45,24.64,22.27,0,548.62
2,15,2768.31,349.25,16.08,16.89,0,271.59
3,15,2074.0,1755.86,10.77,16.19,0,174.32
4,15,2633.67,1380.19,22.15,15.86,0,351.28
5,15,1011.88,2061.56,19.88,19.12,0,380.14
6,15,1519.29,850.36,22.82,14.91,0,340.37
1,16,3120.26,497.34,24.99,22.54,0,563.21
2,16,2768.21,349.45,15.91,16.64,0,264.7
3,16,2073.97,1755.67,10.9,16.59,0,180.73
