jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
1,0,1866.27,1669.39,15.53,17.72,0,275.2
2,0,3058.94,1573.7,15.29,19.34,0,295.7
3,0,3388.63,631.03,18.51,13.98,0,258.87
4,0,2285.07,1826.12,25.89,19.63,0,508.34
5,0,3246.0,1203.64,12.26,15.85,0,194.27
6,0,2370.11,1073.75,14.12,14.85,0,209.75
7,0,1422.56,2037.9,19.47,19.79,0,385.34
8,0,2095.59,1995.99,16.35,16.02,0,261.95
9,0,3832.8,109.77,12.52,13.0,0,162.77
10,0,1422.53,2041.81,19.57,20.38,0,398.84
1,1,1866.63,1669.68,15.8,18.03,0,284.88
2,1,3059.04,1575.5,15.06,19.05,0,286.9
3,1,3392.23,630.33,18.28,13.79,0,252.04
4,1,2286.83,1826.69,26.36,20.0,0,527.14
5,1,3246.88,1204.59,12.18,15.76,0,192.03
7,1,1422.48,2038.28,20.19,20.55,0,414.93
8,1,2094.42,1996.22,15.88,15.56,0,247.11
9,1,3833.8,110.24,12.19,12.66,0,154.31
10,1,1422.45,2042.33,18.6,19.35,0,359.83
1,2,1867.35,1670.19,16.04,18.32,0,293.76
2,2,3059.34,1577.58,14.98,18.95,0,283.88
3,2,3395.62,629.56,18.72,14.11,0,264.22
4,2,2288.9,1827.29,26.5,20.13,0,533.5
5,2,3247.63,1205.96,11.96,15.47,0,185.05
7,2,1422.43,2038.55,20.68,21.09,0,436.13
8,2,2093.58,1996.39,15.56,15.22,0,236.86
10,2,1422.41,2042.51,18.29,18.99,0,347.35
1,3,1868.54,1670.92,15.88,18.06,0,286.86
2,3,3059.89,1579.46,14.78,18.71,0,276.48
3,3,3398.89,628.98,18.79,14.18,0,266.35
4,3,2291.52,1827.19,26.06,19.81,0,516.19
5,3,3248.87,1207.61,12.54,16.25,0,203.76
8,3,2093.07,1996.39,15.59,15.22,0,237.29
10,3,1422.37,2042.68,17.99,18.63,0,335.28
1,4,1869.5,1672.06,16.68,18.84,0,314.09
2,4,3060.63,1581.52,15.23,19.29,0,293.7
3,4,3401.96,628.65,19.26,14.55,0,280.34
4,4,2294.33,1827.47,25.29,19.21,0,485.7
5,4,3249.77,1209.92,12.93,16.83,0,217.55
8,4,2092.55,1996.53,15.35,14.94,0,229.35
10,4,1422.21,2042.9,17.67,18.2,0,321.57
1,5,1873.07,1673.27,16.8,18.81,0,315.94
2,5,3060.9,1584.66,16.31,20.81,0,339.31
3,5,3405.49,628.36,19.91,15.06,0,299.74
4,5,2297.38,1827.77,25.74,19.55,0,503.22
5,5,3250.76,1211.4,12.48,16.28,0,203.26
8,5,2092.31,1996.84,14.86,14.33,0,213.0
10,5,1422.08,2043.16,17.27,17.68,0,305.29
11,5,2381.83,1083.38,14.11,17.24,0,243.29
1,6,1874.82,1674.45,17.33,19.36,0,335.65
2,6,3061.27,1586.36,15.7,20.06,0,314.91
3,6,3409.41,627.97,20.85,15.81,0,329.75
4,6,2300.57,1828.09,25.61,19.47,0,498.48
5,6,3251.61,1212.8,12.64,16.57,0,209.42
8,6,2092.2,1997.16,14.33,13.68,0,196.14
10,6,1421.96,2043.74,16.33,16.53,0,269.97
1,7,1876.12,1675.51,17.58,19.78,0,347.82
2,7,3061.35,1587.02,15.22,19.51,0,296.94
3,7,3413.4,627.59,21.63,16.58,0,358.59
4,7,2303.68,1828.8,26.45,20.18,0,533.86
5,7,3252.58,1214.68,12.52,16.51,0,206.7
8,7,2092.13,1997.5,13.91,13.12,0,182.55
10,7,1422.22,2043.92,16.17,16.18,0,261.73
1,8,1877.23,1676.36,17.36,19.62,0,340.72
2,8,3060.76,1588.45,14.98,19.23,0,288.1
3,8,3416.83,627.24,22.32,17.3,0,386.07
4,8,2306.28,1828.97,26.41,20.2,0,533.66
5,8,3253.52,1216.16,12.41,16.37,0,203.21
8,8,2091.69,1997.74,13.81,12.8,0,176.77
10,8,1421.63,2044.07,16.13,15.91,0,256.71
1,9,1878.38,1676.91,17.16,19.46,0,334.03
2,9,3060.07,1590.07,14.78,19.03,0,281.18
3,9,3420.88,625.61,20.38,15.64,0,318.67
4,9,2308.46,1828.59,26.12,20.01,0,522.64
5,9,3254.58,1218.11,12.26,16.14,0,197.85
8,9,2090.93,1997.9,14.04,12.71,0,178.43
10,9,1420.57,2044.1,16.21,15.83,0,256.69
