frame_idx,time_s,jelly_id,x_center,y_center,width,height,bbox_area_px
0,0.0,1,3121.47,497.14,24.31,22.07,536.39
0,0.0,2,2768.23,346.93,15.43,16.95,261.55
0,0.0,3,2073.02,1757.94,9.68,14.24,137.86
0,0.0,4,2629.96,1378.37,21.41,15.49,331.5
0,0.0,5,1010.5,2060.63,19.0,17.26,327.89
0,0.0,6,1972.41,585.52,15.19,9.14,138.93
6,0.2002,1,3120.77,497.03,24.28,22.03,534.97
6,0.2002,2,2768.38,347.92,15.47,16.97,262.58
6,0.2002,3,2073.85,1756.38,10.53,15.52,163.44
6,0.2002,4,2631.99,1379.44,21.01,15.18,319.0
6,0.2002,5,1011.36,2061.08,19.93,18.16,361.91
12,0.4004,1,3120.43,497.21,24.74,22.42,554.88
12,0.4004,2,2768.35,349.23,15.14,16.55,250.54
12,0.4004,3,2073.96,1755.59,11.33,16.79,190.13
12,0.4004,4,2633.98,1380.32,22.11,15.98,353.49
12,0.4004,5,1012.06,2061.76,21.24,19.52,414.44
18,0.6006,1,3120.2,496.83,25.43,23.03,585.75
18,0.6006,2,2768.34,350.47,16.14,17.65,284.92
18,0.6006,4,2635.89,1380.66,21.61,15.63,337.9
18,0.6006,7,1522.36,850.72,21.59,14.93,322.33
24,0.8008,1,3120.05,496.52,26.67,24.18,644.88
24,0.8008,2,2768.61,351.51,16.82,18.37,309.01
24,0.8008,4,2638.25,1380.98,21.07,15.23,320.83
24,0.8008,3,2075.56,1748.97,10.92,16.23,177.23
24,0.8008,5,1015.71,2065.78,20.87,19.44,405.82
30,1.001,1,3119.58,497.04,25.82,23.42,604.83
30,1.001,2,2769.21,352.12,16.8,18.27,306.97
30,1.001,4,2641.07,1381.44,21.15,15.27,323.02
30,1.001,3,2076.93,1747.31,10.17,15.12,153.82
30,1.001,5,1017.98,2067.14,19.14,18.02,344.93
36,1.2012,1,3119.15,497.58,25.18,22.77,573.44
36,1.2012,2,2769.55,352.59,16.59,17.92,297.33
36,1.2012,4,2644.11,1381.8,21.06,15.19,319.94
36,1.2012,3,2078.2,1745.58,9.65,14.36,138.59
36,1.2012,5,1020.54,2067.68,18.15,17.27,313.39
42,1.4014,1,3119.48,497.67,25.01,22.51,562.83
42,1.4014,2,2770.13,353.39,17.37,18.75,325.75
42,1.4014,4,2646.86,1382.2,20.91,15.05,314.58
42,1.4014,3,2079.66,1743.48,9.2,13.59,125.07
42,1.4014,5,1023.73,2068.21,17.36,16.59,288.03
48,1.6016,1,3119.45,497.83,25.52,22.95,585.75
48,1.6016,2,2770.27,354.93,17.69,19.02,336.37
48,1.6016,4,2649.56,1382.35,21.21,15.25,323.46
48,1.6016,3,2081.16,1740.5,9.2,13.42,123.42
48,1.6016,5,1026.54,2068.83,16.42,15.71,257.97
54,1.8018,1,3120.01,497.92,25.65,23.0,590.13
54,1.8018,2,2771.03,356.68,17.61,18.84,331.9
54,1.8018,4,2652.58,1382.53,20.89,14.99,313.1
54,1.8018,5,1029.26,2069.44,16.24,15.59,253.08
60,2.002,1,3120.5,497.72,26.68,23.97,639.52
60,2.002,2,2772.06,357.99,18.53,19.88,368.26
60,2.002,4,2656.11,1382.8,20.7,14.82,306.86
60,2.002,5,1032.72,2069.94,16.01,15.42,246.76
60,2.002,19,1549.77,851.48,22.26,15.16,337.44
60,2.002,3,2084.93,1735.72,10.15,14.78,150.01
66,2.2022,1,3120.59,498.39,26.48,23.62,625.42
66,2.2022,2,2772.76,358.64,19.09,20.63,393.72
66,2.2022,4,2659.36,1383.25,21.26,15.19,322.88
66,2.2022,5,1035.66,2071.19,16.69,16.09,268.53
66,2.2022,19,1553.19,852.25,22.33,15.21,339.58
66,2.2022,3,2086.74,1734.23,9.75,14.12,137.69
72,2.4024,1,3120.51,500.59,28.17,25.08,706.47
72,2.4024,2,2773.35,361.28,18.69,20.14,376.4
72,2.4024,4,2662.31,1384.09,21.18,15.1,319.79
72,2.4024,5,1039.51,2072.38,15.82,15.22,240.83
72,2.4024,3,2088.8,1732.91,10.0,14.47,144.67
78,2.6026,1,3120.07,501.09,31.29,28.06,877.78
78,2.6026,2,2773.91,363.55,18.19,19.47,354.2
