frame_idx,time_s,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px,mask_perimeter_sam_px
4193,139.90657,2759.71,1186.09,27.21,19.15,521.03,489,84.97
4194,139.93994,2759.92,1186.15,27.94,19.42,542.51,509,88.63
4195,139.97331,2759.72,1186.24,27.87,19.35,539.18,515,88.63
4196,140.00667,2759.71,1186.28,28.05,19.27,540.37,520,89.21
4197,140.04004,2759.76,1186.41,28.23,19.31,545.33,529,89.21
4198,140.07341,2759.76,1186.38,27.97,19.3,539.75,525,90.63
4199,140.10677,2759.67,1186.56,27.9,19.36,540.13,522,89.8
4200,140.14014,2759.7,1186.62,27.79,19.53,542.57,516,88.63
4201,140.17351,2759.77,1186.6,28.07,19.64,551.34,522,87.8
4202,140.20687,2759.71,1186.67,27.92,19.57,546.38,521,88.04
4203,140.24024,2759.9,1186.72,28.08,19.39,544.58,525,88.63
4204,140.27361,2759.68,1186.77,27.85,19.2,534.85,522,86.63
4205,140.30697,2759.59,1186.83,27.71,18.97,525.68,519,86.04
4206,140.34034,2759.27,1186.82,27.31,18.71,511.01,511,86.28
4207,140.37371,2758.99,1186.81,27.0,18.52,500.08,496,84.87
4208,140.40707,2758.76,1186.9,27.03,18.4,497.36,501,85.46
4209,140.44044,2758.78,1186.85,27.03,18.23,492.87,494,84.87
4210,140.47381,2758.83,1186.93,26.88,18.4,494.59,498,86.28
4211,140.50717,2758.7,1186.78,26.63,18.48,492.09,488,85.46
4212,140.54054,2758.83,1186.92,26.63,18.78,500.12,488,84.28
4213,140.57391,2758.74,1186.94,26.19,18.92,495.66,482,82.87
4214,140.60727,2758.88,1187.2,26.03,19.46,506.51,479,82.87
4215,140.64064,2758.99,1186.96,26.29,19.39,509.84,488,84.87
4216,140.67401,2758.9,1186.83,26.25,19.41,509.44,492,84.87
4217,140.70737,2758.88,1186.71,26.46,19.72,521.97,494,85.46
4218,140.74074,2759.01,1186.74,26.49,20.22,535.51,502,85.46
4219,140.77411,2758.99,1186.68,26.51,20.26,537.2,505,87.46
4220,140.80747,2759.1,1186.66,26.59,20.19,536.9,507,87.46
4221,140.84084,2759.17,1186.65,26.46,20.22,535.0,509,87.46
4222,140.87421,2759.2,1186.66,26.45,20.03,529.66,504,85.46
4223,140.90757,2759.12,1186.64,26.34,19.73,519.76,511,87.46
4224,140.94094,2759.2,1186.58,26.53,19.67,521.85,512,86.28
4225,140.97431,2758.98,1186.36,26.46,19.41,513.57,513,86.04
4226,141.00767,2758.92,1186.31,26.54,19.48,517.03,505,84.63
4227,141.04104,2758.6,1186.45,26.29,19.61,515.35,505,85.46
4228,141.07441,2758.44,1186.43,26.36,19.37,510.57,496,84.63
4229,141.10777,2758.35,1186.54,26.35,19.14,504.32,496,84.04
