frame_idx,time_s,balisee_id,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px
4193,139.90657,Balisee_2,1063.93,1700.54,14.78,19.87,293.69,360
4193,139.90657,Balisee_4,1473.28,1719.92,24.03,18.98,456.17,474
4193,139.90657,Balisee_5,1166.0,968.7,18.34,18.35,336.57,409
4193,139.90657,Balisee_3,2759.71,1186.09,27.21,19.15,521.03,489
4193,139.90657,Balisee_1,1114.48,1142.66,16.69,19.03,317.6,360
4194,139.93994,Balisee_4,1473.92,1720.21,23.48,19.23,451.44,461
4194,139.93994,Balisee_2,1063.97,1700.43,14.79,19.46,287.78,361
4194,139.93994,Balisee_5,1166.3,968.53,17.28,18.44,318.64,393
4194,139.93994,Balisee_3,2759.92,1186.15,27.94,19.42,542.51,509
4194,139.93994,Balisee_1,1114.74,1142.94,16.68,18.9,315.21,347
4195,139.97331,Balisee_4,1474.42,1720.11,23.19,18.99,440.31,450
4195,139.97331,Balisee_2,1064.26,1700.34,14.75,19.48,287.28,356
4195,139.97331,Balisee_3,2759.72,1186.24,27.87,19.35,539.18,515
4195,139.97331,Balisee_5,1166.36,968.44,16.91,18.47,312.3,370
4195,139.97331,Balisee_1,1115.1,1143.47,16.33,19.13,312.35,336
4196,140.00667,Balisee_4,1474.84,1720.02,23.17,18.88,437.34,441
4196,140.00667,Balisee_2,1064.31,1700.26,14.81,19.35,286.55,341
4196,140.00667,Balisee_3,2759.71,1186.28,28.05,19.27,540.37,520
4196,140.00667,Balisee_5,1166.26,968.56,17.3,17.96,310.65,372
4197,140.04004,Balisee_4,1475.49,1719.99,23.04,18.62,429.03,419
4197,140.04004,Balisee_2,1064.52,1700.07,14.84,19.31,286.56,344
4197,140.04004,Balisee_3,2759.76,1186.41,28.23,19.31,545.33,529
4197,140.04004,Balisee_5,1165.92,968.95,18.01,17.33,311.98,384
4198,140.07341,Balisee_4,1476.26,1719.95,23.35,18.64,435.17,428
4198,140.07341,Balisee_2,1064.79,1699.96,14.91,19.35,288.52,341
4198,140.07341,Balisee_3,2759.76,1186.38,27.97,19.3,539.75,525
4198,140.07341,Balisee_5,1165.74,969.21,19.26,17.02,327.86,412
4199,140.10677,Balisee_4,1476.38,1720.27,24.14,18.93,456.88,451
4199,140.10677,Balisee_2,1064.95,1699.88,14.92,19.61,292.65,345
4199,140.10677,Balisee_3,2759.67,1186.56,27.9,19.36,540.13,522
4199,140.10677,Balisee_5,1165.67,969.41,20.01,17.19,344.12,431
4200,140.14014,Balisee_4,1476.8,1720.36,24.4,19.54,476.81,457
4200,140.14014,Balisee_2,1065.16,1699.46,15.34,19.83,304.14,346
4200,140.14014,Balisee_3,2759.7,1186.62,27.79,19.53,542.57,516
4200,140.14014,Balisee_5,1165.97,969.46,21.13,18.26,385.79,450
4201,140.17351,Balisee_2,1065.45,1699.47,15.64,20.43,319.55,368
4201,140.17351,Balisee_4,1477.76,1720.5,24.34,19.33,470.44,468
4201,140.17351,Balisee_3,2759.77,1186.6,28.07,19.64,551.34,522
4201,140.17351,Balisee_5,1166.17,969.38,22.05,18.79,414.34,495
4202,140.20687,Balisee_2,1065.68,1699.3,16.0,20.6,329.67,381
4202,140.20687,Balisee_4,1478.25,1720.61,24.53,19.61,481.04,465
4202,140.20687,Balisee_3,2759.71,1186.67,27.92,19.57,546.38,521
4202,140.20687,Balisee_5,1166.48,969.63,22.91,19.2,439.85,516
4203,140.24024,Balisee_2,1065.95,1698.95,16.15,20.37,328.92,388
4203,140.24024,Balisee_4,1478.72,1720.75,24.4,19.46,474.78,469
4203,140.24024,Balisee_3,2759.9,1186.72,28.08,19.39,544.58,525
4203,140.24024,Balisee_5,1166.64,969.63,22.85,20.07,458.69,554
4204,140.27361,Balisee_2,1066.19,1698.8,16.28,20.81,338.84,406
4204,140.27361,Balisee_4,1479.24,1720.67,23.95,19.62,469.91,459
4204,140.27361,Balisee_3,2759.68,1186.77,27.85,19.2,534.85,522
4204,140.27361,Balisee_5,1166.47,969.69,22.27,20.78,462.82,553
4205,140.30697,Balisee_2,1066.61,1698.4,16.03,20.83,333.84,403
4205,140.30697,Balisee_4,1479.81,1720.95,23.92,19.84,474.68,459
4205,140.30697,Balisee_3,2759.59,1186.83,27.71,18.97,525.68,519
4205,140.30697,Balisee_5,1166.5,969.39,21.39,20.56,439.78,527
4206,140.34034,Balisee_4,1480.54,1721.27,24.24,20.03,485.61,469
4206,140.34034,Balisee_2,1066.81,1697.92,15.87,20.99,333.04,393
4206,140.34034,Balisee_3,2759.27,1186.82,27.31,18.71,511.01,511
4206,140.34034,Balisee_5,1166.28,969.44,19.73,20.36,401.57,498
4207,140.37371,Balisee_2,1066.95,1697.66,15.7,21.15,331.97,394
4207,140.37371,Balisee_4,1481.23,1721.34,24.01,20.35,488.57,451
4207,140.37371,Balisee_3,2758.99,1186.81,27.0,18.52,500.08,496
4207,140.37371,Balisee_5,1166.24,968.94,18.96,20.36,386.13,468
4208,140.40707,Balisee_2,1067.2,1697.34,15.64,20.85,326.04,384
4208,140.40707,Balisee_4,1481.82,1721.32,23.78,20.31,483.0,443
4208,140.40707,Balisee_5,1166.27,968.75,19.15,20.32,389.18,463
4208,140.40707,Balisee_3,2758.76,1186.9,27.03,18.4,497.36,501
4209,140.44044,Balisee_4,1482.21,1721.29,24.08,20.29,488.63,440
4209,140.44044,Balisee_2,1067.31,1697.08,15.58,20.94,326.36,370
4209,140.44044,Balisee_5,1166.59,968.38,19.62,19.9,390.4,470
4209,140.44044,Balisee_3,2758.78,1186.85,27.03,18.23,492.87,494
4210,140.47381,Balisee_4,1482.47,1721.6,24.33,20.48,498.36,449
4210,140.47381,Balisee_2,1067.67,1696.6,15.08,20.92,315.56,353
4210,140.47381,Balisee_5,1166.8,968.18,20.46,20.01,409.31,470
4210,140.47381,Balisee_3,2758.83,1186.93,26.88,18.4,494.59,498
4211,140.50717,Balisee_4,1482.62,1721.81,24.21,20.29,491.11,440
4211,140.50717,Balisee_5,1166.68,968.25,21.06,19.98,420.76,472
4211,140.50717,Balisee_2,1068.01,1696.15,14.82,20.76,307.66,344
4211,140.50717,Balisee_3,2758.7,1186.78,26.63,18.48,492.09,488
4212,140.54054,Balisee_4,1483.07,1721.9,23.84,19.84,472.94,432
4212,140.54054,Balisee_3,2758.83,1186.92,26.63,18.78,500.12,488
4212,140.54054,Balisee_2,1068.63,1695.68,14.86,20.79,308.96,342
4212,140.54054,Balisee_5,1166.87,968.54,21.06,18.66,392.99,466
4213,140.57391,Balisee_3,2758.74,1186.94,26.19,18.92,495.66,482
4213,140.57391,Balisee_4,1483.74,1721.98,23.07,19.59,451.93,435
4213,140.57391,Balisee_5,1166.8,968.66,21.29,18.58,395.59,461
4213,140.57391,Balisee_2,1068.92,1695.37,14.74,20.49,302.07,333
4214,140.60727,Balisee_3,2758.88,1187.2,26.03,19.46,506.51,479
4214,140.60727,Balisee_4,1484.12,1721.77,22.87,19.48,445.53,422
4214,140.60727,Balisee_2,1069.22,1694.97,14.6,20.23,295.43,322
4214,140.60727,Balisee_5,1166.92,968.83,20.98,18.22,382.36,452
4215,140.64064,Balisee_3,2758.99,1186.96,26.29,19.39,509.84,488
4215,140.64064,Balisee_4,1484.63,1721.84,23.14,19.42,449.57,425
4215,140.64064,Balisee_2,1069.42,1694.75,14.71,20.1,295.7,324
4215,140.64064,Balisee_5,1167.01,968.99,20.67,17.8,367.96,423
4216,140.67401,Balisee_3,2758.9,1186.83,26.25,19.41,509.44,492
4216,140.67401,Balisee_4,1485.15,1721.7,23.25,19.45,452.34,432
4216,140.67401,Balisee_5,1166.75,969.24,19.53,17.74,346.45,399
4216,140.67401,Balisee_2,1069.67,1694.66,14.78,20.24,299.06,325
4217,140.70737,Balisee_3,2758.88,1186.71,26.46,19.72,521.97,494
4217,140.70737,Balisee_4,1485.56,1721.38,23.35,19.89,464.47,436
4217,140.70737,Balisee_2,1070.06,1694.31,14.63,19.96,292.12,326
4217,140.70737,Balisee_5,1166.45,969.16,18.66,17.8,332.13,371
4218,140.74074,Balisee_3,2759.01,1186.74,26.49,20.22,535.51,502
4218,140.74074,Balisee_4,1485.84,1721.34,23.86,19.73,470.78,454
4218,140.74074,Balisee_2,1070.43,1694.3,14.8,19.99,295.79,327
4218,140.74074,Balisee_5,1166.43,969.18,17.96,17.89,321.32,366
4219,140.77411,Balisee_3,2758.99,1186.68,26.51,20.26,537.2,505
4219,140.77411,Balisee_4,1486.0,1721.25,23.81,19.96,475.19,456
4219,140.77411,Balisee_5,1166.66,968.88,17.94,18.12,325.06,376
4219,140.77411,Balisee_2,1070.6,1694.11,14.87,19.92,296.15,336
4220,140.80747,Balisee_3,2759.1,1186.66,26.59,20.19,536.9,507
4220,140.80747,Balisee_4,1486.79,1720.93,23.41,19.67,460.51,456
4220,140.80747,Balisee_5,1166.43,969.02,17.96,18.41,330.74,389
4220,140.80747,Balisee_2,1070.93,1693.89,14.9,20.09,299.28,337
4221,140.84084,Balisee_3,2759.17,1186.65,26.46,20.22,535.0,509
4221,140.84084,Balisee_5,1166.47,969.01,18.14,18.56,336.77,532
4221,140.84084,Balisee_4,1487.24,1720.85,23.69,19.89,471.19,471
4221,140.84084,Balisee_2,1071.03,1693.59,15.08,19.98,301.33,342
4222,140.87421,Balisee_3,2759.2,1186.66,26.45,20.03,529.66,504
4222,140.87421,Balisee_2,1071.39,1693.38,15.47,20.09,310.66,342
4222,140.87421,Balisee_5,1166.63,969.08,18.9,18.53,350.34,400
4222,140.87421,Balisee_4,1487.66,1720.7,23.87,20.16,481.24,484
4223,140.90757,Balisee_3,2759.12,1186.64,26.34,19.73,519.76,510
4223,140.90757,Balisee_5,1166.79,969.21,19.85,18.38,364.84,401
4223,140.90757,Balisee_2,1071.56,1693.38,15.67,20.32,318.48,345
4223,140.90757,Balisee_4,1488.55,1720.84,23.54,20.28,477.3,482
4224,140.94094,Balisee_3,2759.2,1186.58,26.53,19.67,521.85,512
4224,140.94094,Balisee_2,1071.96,1693.23,15.98,20.49,327.46,352
4224,140.94094,Balisee_4,1488.95,1720.78,23.53,20.48,481.83,468
4224,140.94094,Balisee_5,1166.83,969.46,20.21,18.63,376.58,426
4225,140.97431,Balisee_3,2758.98,1186.36,26.46,19.41,513.57,513
4225,140.97431,Balisee_4,1489.07,1721.13,23.8,20.67,491.94,479
4225,140.97431,Balisee_2,1072.21,1693.12,16.11,20.38,328.34,353
4225,140.97431,Balisee_5,1166.6,969.47,20.87,17.68,369.05,431
4226,141.00767,Balisee_3,2758.92,1186.31,26.54,19.48,517.03,505
4226,141.00767,Balisee_2,1072.33,1692.76,15.82,20.31,321.26,348
4226,141.00767,Balisee_4,1489.23,1721.04,23.76,20.85,495.38,476
4226,141.00767,Balisee_5,1166.36,969.58,21.05,17.87,376.17,418
4227,141.04104,Balisee_3,2758.6,1186.45,26.29,19.61,515.35,505
4227,141.04104,Balisee_2,1072.52,1692.72,15.92,20.2,321.56,347
4227,141.04104,Balisee_4,1489.84,1721.14,23.13,20.89,483.23,466
4227,141.04104,Balisee_5,1166.17,969.52,20.76,17.51,363.57,428
4228,141.07441,Balisee_3,2758.44,1186.43,26.36,19.37,510.57,496
4228,141.07441,Balisee_2,1072.68,1692.49,15.98,20.02,319.9,344
4228,141.07441,Balisee_4,1490.46,1721.15,23.26,20.51,477.17,476
4228,141.07441,Balisee_5,1166.11,969.55,20.87,17.72,369.9,437
4229,141.10777,Balisee_3,2758.35,1186.54,26.35,19.14,504.32,496
4229,141.10777,Balisee_2,1072.96,1692.27,15.62,20.19,315.41,340
4229,141.10777,Balisee_4,1491.06,1721.49,23.66,21.21,501.82,477
4229,141.10777,Balisee_5,1165.95,969.51,20.71,18.31,379.08,440
4230,141.14114,Balisee_3,2757.82,1186.55,25.76,19.1,492.09,479
4230,141.14114,Balisee_2,1073.14,1692.02,15.58,20.15,313.91,332
4230,141.14114,Balisee_4,1491.33,1721.25,23.72,21.15,501.74,473
4230,141.14114,Balisee_5,1165.71,969.04,19.86,18.77,372.68,441
4231,141.17451,Balisee_3,2757.77,1186.73,26.16,19.19,502.05,484
