window_id,balisee_physique,jelly_id,frame_start,frame_end,time_start_s,time_end_s,duree_s,x_center_moyen,y_center_moyen,taille_moyenne_px,coverage,n_pulsations_modele_stride6,freq_modele_stride6_hz,n_pulsations_modele_stride1,freq_modele_stride1_hz,n_detected_stride1,n_pulsations_modele,freq_modele_hz
W01,B3,764,1200,1493,40.04,49.816,9.78,2246.9,1312.1,512.0,1.0,2.0,0.2081,7.0,0.6993,300.0,,
W02,B3,764,2616,2909,87.287,97.064,9.78,2377.4,1352.9,467.5,1.0,4.0,0.4163,10.0,0.999,300.0,,
W03,B3,764,4091,4384,136.503,146.28,9.78,2755.1,1190.6,508.6,1.0,4.0,0.4163,10.0,0.999,300.0,,
W04,B3,764,5566,5859,185.719,195.495,9.78,3044.2,1486.6,534.1,1.0,3.0,0.3122,9.0,0.8991,300.0,,
W05,B3,764,7041,7334,234.935,244.711,9.78,3808.9,1336.9,577.3,1.0,2.0,0.2081,4.0,0.3996,300.0,,
W06,B1,767,1200,1493,40.04,49.816,9.78,199.1,1065.2,309.4,1.0,3.0,0.3122,10.0,0.999,300.0,,
W07,B1,958,4976,5269,166.033,175.809,9.78,1299.2,1381.3,323.0,0.878,3.0,0.3122,9.0,0.8991,300.0,,
W08,B1,1217,8693,8986,290.057,299.833,9.78,1425.2,2018.7,300.9,1.0,4.0,0.4163,9.0,0.8991,300.0,,
W09,B2,771,1200,1493,40.04,49.816,9.78,492.2,1597.8,373.8,1.0,4.0,0.4163,9.0,0.8991,300.0,,
W10,B2,1371,8693,8986,290.057,299.833,9.78,1843.0,1633.1,311.3,1.0,2.0,0.2081,8.0,0.7992,300.0,,
W11,B4,787,1434,1727,47.848,57.624,9.78,1139.8,1717.1,480.3,1.0,3.0,0.3122,12.0,1.2028,299.0,,
W12,B4,1344,8691,8984,289.99,299.766,9.78,2225.3,1783.9,501.8,0.878,1.0,0.1063,5.0,0.4995,300.0,,
W13,B5,847,2472,2765,82.482,92.259,9.78,1030.1,1108.6,403.5,0.98,7.0,0.7284,10.0,1.0159,295.0,,
W14,B5,1288,8549,8842,285.252,295.028,9.78,2037.4,1076.9,654.8,0.857,4.0,0.4343,6.0,0.6837,263.0,,
W15,controle,787,1847,2140,61.628,71.405,9.78,1248.8,1666.8,358.0,0.469,2.0,0.3842,4.0,0.8442,142.0,,
W16,controle_pur,aucun,4195,4489,139.973,149.783,9.81,240.0,270.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
